Id,Job Posting Title,Job Description,Primary Recruiter,Hiring Manager,Division,Job Family Group,Job Family,Job Profile,Region,Country,Primary Location,Date First Posted,Salary,inflation_rate,unemployment_rate,Time to fill
559,???????????CPM???????-CCH Tagetik-????????????????????????- Senior Consultant,"About the role 
This role is responsible for implementation activities across Japan for the CCH Tagetik CPM/EPM software portfolio. Your role is to provide domain expertise, product knowledge and industry experience to deliver a tailored sales experience to the customer. This role is based in ?temachi, and is full-time and permanent.

Key Responsibilities include:

Support application design and doing hands-on product implementation

Project documentations

As a product trainer, conduct end user training and conduct demos to prospects.

Build the application end to end

Participate in user acceptance testing

Excellent Client interaction / build relation with top Management and handle key business users

Effective offshore co-ordination for project execution (Web session, conference calls etc.)

Work as a team to drive for effective on time project deliverables.

Travel to client location in Asia and drive the solution delivery along with Project Manager.

Data flow implementation and data model research and design construction from conceptual, theoretical, and physical angles


About you

The ideal candidate has:

5+ years experience

In depth knowledge in Financial Planning & Budgeting process of an Organization.

Sound understanding in Basic Accounting & Financial consolidation process.

Extensive knowledge of application and database administration tasks, specifically Database Trouble Shooting

Fluent in Japanese (JLPT N1 certification, or equivalent)

Business level English (preferred)

Good Analytical and interpretation skills.

Knowledge of metadata management, data structures and data models

Experience in data structure design and database problem solving and debugging is preferred.

Experience with data platforms such as databases, data warehouses and data lakes


Culture and Benefits

As part of Wolters Kluwer, you can expect to receive:

A commitment to developing a flexible environment to balance work and life responsibilities

Career and learning opportunities

Access to health and wellness programs

A wide range of leave options.


About our values

Wolters Kluwer continuously strives for an inclusive company culture in which we attract, develop, and retain high-performing, productive, engaged, and diverse talent to deliver on our strategy. As a global company, having a diverse workforce from different backgrounds, nationalities, races, genders, gender identities, ages, sexual orientations, physical disabilities, religions, expertises and talents is of the utmost importance.

We pride ourselves on our culture, which promotes inclusion, accessibility and flexible working arrangements. You can learn more about what we do by visiting our website: https://www.tagetik.com/jp",113,1113,7,Consulting/Professional Services,Consulting/Professional Services - Generalist,81,APAC,Japan,JPN-Tokyo-Otemachi,2022-01-27 00:00:00,6,0.5,2.8,443
560,Remote Product Software Engineer (PL SQL/Oracle/Oracle Forms and Reports),"***This position is open to 100% remote work for all States in the Continental US ***
Wolters Kluwer Health's Clinical Effectiveness (CE) organization is a fast-growing and innovation-driven healthcare information technology (HIT) provider working on the front lines of clinical care. Our talented team of physician editors, technologists, and product visionaries collaborate to provide advanced clinical decision support solutions that measurably improve clinical effectiveness by helping healthcare professionals provide optimal care for their patients.

Responsibilities:

Write and debug code 

Collaborate with an agile team that is passionate about utilizing emerging technologies and delivering high quality and timely code 

Perform unit and integration testing on all developed code – Create and execute unit and integration tests within the development lifecycle

Work with Quality Assurance Team on issue reporting, resolution, and change control

Support and Troubleshooting – Assist Operations Team with any environment issues during application deployment across Development, QA, Staging, and Production environments.

Assist other cross teams with troubleshooting problems that may arise from applications or integration of various components


Skills and Experience:

A minimum of 1+ years experience with PL/SQL, Oracle Forms, and Oracle Reports.

Experience with Perl, Korn Shell/Bash is a plus.

Experience with Angular, React or Kendo UI, is a plus.

Knowledge of Object-oriented programming, data structures, dependency injection, and multi-threading.

Bachelor’s Degree in Computer Science or related field.

Experience in Agile Software Development.

Experience working with “GIT” as source control and should understand the concepts around pull requests, branches, repositories, is a plus.

Experience with Microsoft Azure (Azure SQL, Storage, Web apps, Key Vault, pipeline, App insights, and Monitoring) is a plus but not a must.

Industry experience in the health care sector is a plus.

Technology Certification is a plus.

#LI-Remote",79,85,5,Technology,Software Engineering - Products,316,Americas,United States of America,USA-IN-Indianapolis-Woodfield Crossing Blvd,2022-02-03 00:00:00,5,7.871064,3.8,111
561,Accounts Payable Analyst,"Wolters Kluwer is a global leader in professional information services. Professionals in the areas of legal, business, tax, accounting, finance, audit, risk, compliance and healthcare rely on Wolters Kluwer's market leading information-enabled tools and software solutions to manage their business efficiently, deliver results to their clients, and succeed in an ever more dynamic world. Wolters Kluwer combines deep domain knowledge with specialized technology. Our portfolio offers software tools coupled with content and services that customers need to make decisions with confidence. Every day, our customers make critical decisions to help save lives, improve the way we do business, build better judicial and regulatory systems. We help them get it right.

Responsibilities:
Review invoice support documentation to ensure proper approval and compliance with DOA and internal control policies
Review vendor requests to ensure source validity and that set-up requirements are met
Investigate, analyze and solve invoice and reconciliation issues, delegate processing to offshore Accounts Payable (AP) team members, ensure that procedures are being followed, assist with training opportunities
Support the offshore team with various questions to expedite invoice processing, examine and resolve SAP upload issues, make decisions on tickets cancel/close, and manage external query reporting
Analyze performance issues, document and address defects with the offshore AP management team, and offer guidance and corrective actions
Maintain the AP process standards to minimize process variances and exceptions and to drive business efficiencies
Perform SAP payment proposals, generate payment registers and review printed checks for accuracy on weekly basis
Review payment blocks, review and correct EFT details with vendors
Analyze IR/GR discrepancies and work closely with Purchasing Department on PO to invoice reconciliations
Cross-train with other Accounts Payable roles and provide backup for vital processes
Support internal customers and vendors on urgent AP matters and work with all levels of management on obtaining the necessary coding and approval
Assist with reviewing, analyzing, and editing the monthly Accounts Payable accrual report submitted by the offshore team and submit to RTR the tower
Support all Wolters Kluwer business units within STEP SAP

Qualifications:
A minimum of five years of accounts payable (AP) experience
Bachelor's degree from an accredited college or university or equivalent work experience
Business-to-business AP and data analysis experience
Experience with Purchasing/AP integrate ERP - SAP
Knowledge of delegation of authority (DOA), goods receipt/invoiced receipt (GR/IR), Procure to Pay (P2P)
Experience training others, prior management experience preferred
Ability to take initiative, prioritize and problem solve, strong attention to detail and strong verbal and written communication skills
Ability to work in a collaborative team environment and effectively meet deadlines
Proficient with SAP AP, Microsoft Office Suite applications including Word, Excel and Outlook; experience with Coupa",134,878,2,Accounting/Finance/Risk,Accounts Payable/Receivable,10,Americas,United States of America,USA-MD-Frederick-McKinney Circle,2020-02-28 00:00:00,4,2.334874,3.5,60
562,Business Analytics Manager - Pega Strategy,"Job Description Summary

The lead level provides direction and technical leadership to high priority or complex projects. Serves as liaison between clients or internal departments and development/technology teams. Defines detailed product, functional or systems requirements, analyzes business needs, and validates solutions with client/internal users for product implementation, integrations, or other projects. Details requirements through product development and/or other functions to support the project team. Provides technical guidance for efficient design, configuration, and implementation. May assist with testing to analyze results.

Job Description

Prepares operations analyses including analysis of competitors, operational effectiveness, and capacity utilization and makes recommendations for improvement. Develops process analyses, end to end process mappings and identifies opportunities for improvement. May track, maintain, and provide current information on business operations. May analyze or provide support on administrative financial support activities of a business division. Work may include preparing financial reports, budgets, and annual and long-term business plans. Incumbents may also be responsible for coordinating and leading special projects. 

Additionally, The Pega Strategy Manager for Wolters Kluwer (WK) CT Corporation is responsible for:
Driving the definition, design and implementation of medium to large scale new/upgraded customer-facing or internal Pega product and process improvements to improve revenue growth, optimize operational efficiencies and achieve company goals and objectives. 
Act as a senior advisor to management and represents the company on highly significant matters relating to Pega policies, programs, capabilities, and long-range goals and objectives.
Continuously collaborates with multiple internal groups (e.g., Sales, Service, Marketing, IT, Operations) to identify and execute on new opportunities to reduce operating costs and improve customer service, productivity, quality, and efficiency within the business.
Develops new applications based on professional principles and theories using advanced concepts, techniques, and standards.  They are viewed as an expert in their field within the company.
Identifies solutions to problems of unusual complexity which require a high degree of ingenuity, creativity, and innovation; challenges are frequently unique, and solutions may serve as precedent for future decisions.
Works under consultative direction toward long-range goals and objectives. Their assignments are often self-initiated and self-supervised.
Responsible for decisions that affect the financials, employees, and customers of the company.
Leverages a strong knowledge of the company and industry and relationships with multiple internal teams to effectively plan and execute initiatives and projects.
end users; driving operational excellence through the service and finance organizations; participating in organizational activities to meet or exceed company objectives; and representing Wolters Kluwer within the industry.

Other Duties
Mentors and coaches team members, contributes to the development of strategic business plans, and regularly contributes to other team members’ projects to ensure the needs of the organization are met.
In addition, serves as a role model for team members, leads by example, quickly adapts to change, embraces new policies and procedures and maintains a minimum of target/excellence with all their performance metrics.
Also participates in internal/end user Pega training initiatives, product support/maintenance activities, and other projects designed to meet or exceed company objectives. 

Activities of this role includes: developing and maintaining a knowledge of the department, company and industry as a whole; driving the definition and design of large and complex scale new or upgraded customer-facing or internal Pega products or integrations; driving the development of large and complex scale new or upgraded customer-facing or internal products; facilitating a smooth transition of a quality product/upgrade to a production environment; participating in training initiatives to educate internal teams

Job Qualifications

Education
Bachelor’s degree or equivalent experience in Pega development and management.
Preferred is Pega skills certification, but not required. 

Location:
Work anywhere in U.S.",145,976,4,Business Analytics,Business Analysis,51,Americas,United States of America,USA-OH-Hudson-Terex Road,2020-12-10 00:00:00,7,1.362005,6.7,213
563,Senior Consultant,"This role is responsible for activities across Japan for the CCH Tagetik CPM/EPM software portfolio. This role is based in ?temachi, Tokyo and is full-time and permanent.

Key responsibilities include:

to maintain positive relationships with Tagetik Japan customers, and have ownership of customers' success with Tagetik solutions; measured through up-sell, cross-sell, and marketing supports (press release, use cases, event presentations) and other metrics that measure customer sentiment.

Build and drive risk mitigation plans that map to value realization and success outcomes for customers.

Drive the risk mitigation strategy through effectively working cross functionally and ensuring accountability across multiple departments within Tagetik as well as partners.

Ability to proactively drive Tagetik and Customers forward with minimal oversight.


About our values
Wolters Kluwer continuously strives for an inclusive company culture in which we attract, develop, and retain high-performing, productive, engaged, and diverse talent to deliver on our strategy. As a global company, having a diverse workforce from different backgrounds, nationalities, races, genders, gender identities, ages, sexual orientations, physical disabilities, religions, expertises and talents is of the utmost importance.",103,1113,7,Consulting/Professional Services,Consulting/Professional Services - Generalist,81,APAC,Japan,JPN-Tokyo-Otemachi,2020-11-19 00:00:00,6,-0.9,2.9,167
564,Content Management Analyst,"The Content Management Analyst, you will be responsible for designing and testing software for use by CPA firms and corporations using our development and research tools.  This position is based out of our Wichita, KS office.

The Content Management Analyst will support both annual update and enhancement efforts for various taxing authorities inside ProSystem and Axcess Tax.  Through our extensive training program, you will learn to define, analyze, design and support the tax software. You will also make recommendations for improving the usability of the product, and you will provide occasional customer assistance during peak filing seasons. 

Responsibilities: 
Design the complete user experience for all assigned tax forms, including the user interface for gathering tax data and government form output screens, calculations, help documentation, e-Filing, and print functionality.
Conduct product testing and debugging of tax programs to ensure the product’s accuracy and usability.
Test assigned products and cross-test products designed by other analysts.
Demonstrate strong analytical and problem-solving skills
Demonstrate strong organizational skills with the ability to work under pressure.

Qualifications:

Education: 
Bachelor's Degree in Accounting or related field or equivalent experience

Other Relevant Experience, if Available: 
Income Tax Preparation experience working in a Public Accounting Firm or Corporate Tax department or software development experience 
Essential Skills & Abilities:
Self-motivated and organized
Commitment to providing exemplary products
Strong attention to detail 
ProSystem or Axcess software user experience a plus",94,1258,7,Content Mgt/Publishing,Content Management,90,Americas,United States of America,USA-KS-Wichita-East Douglas,2020-02-27 00:00:00,4,2.334874,3.5,126
565,Senior Inside Sales Representative,"Wolters Kluwer is a global leader in professional information services. Professionals in the areas of legal, business, tax, accounting, finance, audit, risk, compliance and healthcare rely on Wolters Kluwer's market leading information-enabled tools and software solutions to manage their business efficiently, deliver results to their clients, and succeed in an ever more dynamic world.  Wolters Kluwer combines deep domain knowledge with specialized technology. Our portfolio offers software tools coupled with content and services that customers need to make decisions with confidence. Every day, our customers make critical decisions to help save lives, improve the way we do business, build better judicial and regulatory systems. We help them get it right.

?Responsibilities:  
Achieve new business and renewal sales goals in assigned partnered territories by using sound sales practices
Sell and renew a wide portfolio of compliance-related advisory services, consulting, installed content, and web-based services designed to help our customers in the largest US financial institutions deliver best in class regulatory compliance in a competitive environment 
Work in partnership with sales management, outside sales account executives, marketing and other internal resources to achieve total sales objectives 
Apply sound sales practices including setting appointments, conducting presentations, managing pipelines and documentation in a CRM system 
Develop a deep understanding of WK services, a solid understanding of the North American banking and financial industry, participating in organizational activities to meet or exceed company objectives 
? 
Qualifications: 
A minimum of five years of successful business-to-business (B2B) commissioned sales experience involving multiple decision makers 
Bachelor’s degree from an accredited college/university or equivalent work experience 
Full sales cycle responsibility, developing and qualifying prospect lists, making presentations to prospective clients, and achievement of sales quotas; preferably within the mortgage, banking, regulatory compliance or financial services industry 
Experience in commissioned lead generation, inside sales and/or outbound telephone sales preferred 
Ability to absorb and apply extensive industry and product knowledge to customers 
Strong communication skills with the ability to meet or exceed key performance measurements and convey value proposition to prospective clients 
Proficient with Microsoft Office Suite applications including Word, Excel, PowerPoint and Outlook 
Experience utilizing Customer Relationship Management (CRM) software such as SalesForce
Ability to travel up to 20%",124,758,4,Sales,Inside Sales,221,Americas,United States of America,USA-MN-St Cloud-Sauk View Dr,2019-10-25 00:00:00,3,1.764043,3.6,163
566,Fulfillment Associate,"ESSENTIAL DUTIES AND RESPONSIBILITIES 
Learns CT product line, internal systems and processes, as well as jurisdictional rules and regulations in order to effectively serve clients by attending appropriate training courses; completing all self-study reading, exercises, and activities in the prescribed timeline; engaging in one-on-one training with Manager; engaging in supervised processing (approximately 6+ months); accepting critical feedback and implementing suggestions; studying information provided by product management and marketing on an on- going basis in timely manner; researching and learning how the products fit into customers’ processes and contribute to their business performance; reviewing competitor information to be able to compare and contrast them with CT products; developing an understanding of filing rules and regulations; and engaging on training to utilize internal systems and tools (e.g., Oneworld, CT Advantage, Knowledge Express, Doc Central).
Fields incoming questions or issues regarding products and services the organization provides by responding to incoming internal and external customer requests; gaining a full understanding of customers’ requests; providing comprehensive answers to questions pertaining to products, services, and jurisdictional filing requirements; engaging corporate resources as appropriate to ensure client issues and concerns are resolved (e.g., team leader, service teams); accurately documenting information into systems; capturing common issues to reduce recurring issues and inquiries; and meeting established standards for quality.
Reviews and fulfills incoming requests by entering and tracking information as it is input into the system; ensuring all entries meet accuracy standards; following customer preferences on deliverable's; and maintaining documentation in accordance with timing and accuracy standards.
Contributes to customer satisfaction and organizational success by working collaboratively and directly with internal and external customers and resources to deliver solutions that exceed customer expectations and minimize customer impacts; managing client expectations on the timing, delivery and scope; and providing feedback on the effectiveness and soundness of policies and procedures in the corporate operations department.
Participates in department-wide process improvement programs and process best practices by engaging in strategies for process improvement to meet organizational performance plans; and ensuring all activities meet or exceed organizational requirements.
Represents Wolters Kluwer by developing and maintaining comprehensive knowledge of Wolters Kluwer products, industry trends and general business and financial acumen through various sources and initiatives; communicating in a professional, compelling, and articulate manner of speech, writing and formal presentation; behaving in ways that demonstrate corporate core values and culture; developing professional and positive relationships with customers and colleagues; and maintaining a reputation of competence, integrity and professionalism. 1. Proactively pursues professional development activities (e.g., attending educational workshops
OTHER DUTIES
Proactively pursues professional development activities (e.g., attending educational workshops, taking training classes).
Manages relationships with internal and external resources.
Performs other duties as requested by Supervisor.
Education 
Preferred: Bachelor’s degree in any stream (e.g., Business, Communications, Marketing, or related discipline); OR, if no degree, 4 years of customer service experience.
Experience 
Minimum Experience: 1year customer service experience, including:
Integrating information from multiple sources quickly and accurately.
Gathering and analyzing customer needs.
Utilizing communication skills, including both excellent verbal skills and accurate written communication.
Working independently with a minimum amount of oversight while still being an integral part of a team.
Preferred Experience (includes minimum): 2 years customer service experience, including:
Diffusing potential volatile customer situations.
Demonstrated ability to manage multiple projects simultaneously.
Working in a fast paced, changing environment.
TRAVEL REQUIREMENTS
Minimal travel to attend training, or meetings, approximately 5% of work time.
Ability to travel independently.
Ability to travel by air.
Ability to obtain a credit card.",179,1141,4,Operations/Supply Chain,Fulfillment,182,APAC,India,IND-Pune-Kalyani Nagar,2020-01-27 00:00:00,1,7.491857,7,77
567,Customer Service representative,"Som orderhandläggare arbetar du främst med orderläggning, fakturaservice och ärendehantering. Mail och telefon är dina främsta arbetsredskap. Du är del av ett team på fyra personer som arbetar med företagskunder. Tjänsten innefattar även mer komplexa administrativa uppgifter som kräver systemkunskap och förståelse, därför ser vi att du som söker har ett stort intresse för analys och systemhantering. Wolters Kluwers produkter riktar sig till kunder inom ekonomi och vi ser gärna att du som söker har en bakgrund och god kunskap inom service och fakturering.

Exempel på arbetsuppgifter: Ärendehantering, Fakturaservice, Orderläggning, Systemadministration
Kvalifikationer
Gymnasieexamen, gärna inom IT alt ekonomi
Erfarenhet inom kundservice, gärna B2B
Mycket goda systemkunskaper, där SAP är meriterande
Goda kunskaper inom Office paketet
Svenska och engelska, flytande både i tal och skrift
Meriterande: Arbetat med ärendehantering och orderhandläggning. Grundläggande bokföring/faktureringskunskap, är meriterande om du har:
Personliga egenskaper: Serviceinriktad, Självgående, Ansvarstagande, Flexibel",57,805,7,Customer Service,Order Processing,294,EMEA,Sweden,SWE-Gothenburg-Amerikaskjulet,2022-02-28 00:00:00,2,4.291909,7.4,117
568,Field Sales Executive - Accounting Software,"Grow and retain our Accounting client base in the South Island

Sell a cloud software solutions suite to Accounting Firms

Suits sales professionals with SaaS or accounting and financial services background


About the role

The Field Sales Executive role is responsible for driving sales and revenue growth, for the range of CCH iFirm Accounting software within the South Island. The role will champion Wolters Kluwer across a range of Accounting customers. This role is based in Auckland or Christchurch and is full-time and permanent with flexible working arrangements.

Key responsibilities include:

Manage a high potential territory of accounting firms across the South Island

Identify prospects and conduct research to support your consultative approach to selling,

Identify cross-sell and upsell opportunities within your client base

Diagnose prospective and existing client needs and present solutions from our suite of products

Demonstrate to prospects and existing clients compelling use for our products and establish our value proposition

Following up on new leads and referrals from our marketing initiatives, sales support teams and other sources

Preparing presentations, proposals, sales quotes, and contracts

Maintaining accurate notes in our CRM, Salesforce.com

Liaise with key stakeholders to support the sales process, Commercial, Marketing, Product and Consulting


About you

The ideal candidate possesses:

5+ years’ experience in Field Sales or Account Management or other equivalent experience

Knowledge or experience within the Accounting Software or Finance industry (highly desirable)

Demonstrated experience meeting and exceeding sales targets

Exceptional time management skills and the ability to succeed autonomously

A consultative, solution-selling approach to sales

An appetite to work within an evolving software and information services business as part of a Global organisation with development opportunities

A love for KPIs and helping customers to achieve success.


About our values

Wolters Kluwer continuously strives for an inclusive company culture in which we attract, develop, and retain high-performing, productive, engaged, and diverse talent to deliver on our strategy. As a global company, having a diverse workforce from different backgrounds, nationalities, races, genders, gender identities, ages, sexual orientations, physical disabilities, religions, expertise, and talents is of the utmost importance.

We are a company that lives and breathes its values: Focus on Customer Success, Make it Better, Aim High & Deliver and Win as a Team. We believe in promoting and developing our people, and provide a suite of benefits to make your life easier both at work and play.

We pride ourselves on our culture, which promotes inclusion, accessibility, and flexible working arrangements. You can learn more about what we do by visiting our website: https://www.wolterskluwer.co.nz/",103,439,7,Sales,Field Sales,175,APAC,New Zealand,NZL-Auckland-The Promenade,2020-12-18 00:00:00,6,,,160
569,Field Sales Executive,"The Field Sales Executive – Solutions Consultant for Wolters Kluwer Tax & Accounting (""TAA"") has primary responsibility for driving profitable sales growth in assigned accounting firms that meets or exceeds sales goals. Field Sales Executive activities include learning and staying informed on the complex and comprehensive Tax & Accounting product line; learning and following a comprehensive sales process; updating and managing sales pipeline information for an assigned list of accounts; managing time and resources effectively; representing Wolters Kluwer within the industry and territory; and contributing to sales planning and forecasting activities. Specific responsibilities and requirements follow.

***The territory for this position includes Arizona, New Mexico and El Paso, Texas and we are considering candidates in any of those locations.ESSENTIAL DUTIES AND RESPONSIBILITIES
Learns full line of Tax & Accounting products including features, benefits, pricing, intended use, value proposition and competitive position in order to effectively serve clients by attending and engaging fully in standard product training session for new hires; completing all self-study reading, exercises, and activities in the prescribed timeline.
Learns and executes the sales process for Tax & Accounting products and services by staying fully informed of the prescribed sales process. Meets or exceeds sales quotas.
Manages assigned account list that supports a healthy sales pipeline by reviewing target list provided; organizing customers by segment and opportunity (e.g., size, type of firm); researching contact information for decision-makers and influencers; building daily and weekly calling lists and making corresponding calls; and maintaining information within the Salesforce CRM database in accordance with timing and content standards.
Drives new account/customer development to meet weekly, monthly, and annual sales goals planning and conducting prospecting/introductory calls with sufficient volume to establish full calendar of in-person meetings; participating in industry meetings, trade shows and sales meetings; conducting group presentations to generate interest in products and services.
Maintains and grows existing customer business to meet weekly, monthly and annual sales goals by contacting or meeting with existing clients in sufficient volume and with appropriate regularity to stay informed of their business needs, and the value provided by existing WK solutions.
Contributes to new product development and issue resolution that meets customer needs by identifying gaps/issues where current products do not meet client requirements; working with product managers to translate unmet client requirements into business and functional specifications; managing client expectations on the timing, delivery and scope of product enhancements.
Improves TAA market share within the territory by identifying departments/business lines in target accounts using competitive products and engaging the client account at the management and executive level to identify business issues.
Contributes to new product development and issue resolution that meets customer needs by identifying gaps/issues where current products do not meet client requirements.
Manages time and resources effectively to accomplish sales goals by planning for and scheduling all required sales activity; grouping activities logically (e.g., in-person meeting in the same locale on the same or consecutive days).

Other Duties:
Collaborates with colleagues to exchange information such as selling strategies and marketing information.
Works with other sales personnel and Division Sales Manager to address account/channel conflicts in a professional manner.
Develops an Annual Business Plan based on accurate pipeline predictions, Mid-year business update, weekly reports and quarterly forecasts.
Engages in weekly communication with manager.

JOB QUALIFICATIONS

Education:
Bachelor's Degree in business, accounting, marketing, or related field; OR, if no degree, 4 years outside sales experience for non-manufacturing/non-agriculture product/services.

Required Experience:

Three years of sales experience to non-consumer organizations, including:
Experience developing and qualifying prospect lists.
Experience consistently achieving quotas and goals.
Experience developing and executing business plans and forecasts.
Experience translating contacts gained through extensive networking into legitimate business opportunities.
Experience making in-person presentations to prospective clients to explain the business' products and services and their alignment with the client's needs.
Demonstrated proficiency with MS Office Suite (Word, excel, PowerPoint and Outlook) & presentation tools.
Experience with CRM tools i.e. Salesforce.com; etc.
Preferred Experience:
Experience using a Consultative sales approach.
3 years sales experience in on-premise or SAAS software business application and/or content information.
Consistent Club/Performance Awards.
Working within a multi-division organization with various sales channels.
Working in or selling products/services to the tax and accounting industry.
Experience working with tax and/or accounting concepts and terminology.
Other Knowledge, Skills, Abilities and Certifications:
Experience working independently with a minimum amount of oversight.
Formalized sales training (e.g. Challenger Sales).
Advanced professional communication skills both written and verbal.
Detail-oriented and ability to handle multiple top priorities.
Ability to function in a fast-paced collaborative and in a matrixed organization.
Strong work ethic and passion for excellence.
Ability to work flexible schedule and overtime.
Excellent facilitation skills and ability to influence, drives for collaboration but not necessarily consensus.
Travel Requirements:
Domestic travel to client sites, 60% - 70% of work time; ability to travel independently and overnight as well as ability to travel by air.
Must have valid driver's license and a car.
Ability to obtain a credit card.
Physical Demands:
Ability to work from home office and sit for long periods of time.",161,591,7,Sales,Field Sales,175,Americas,United States of America,USA-CA-Los Angeles-West Seventh St (inactive),2020-11-10 00:00:00,6,1.174536,6.7,181
570,Senior Customer Service Representative,"Para nuestra área de Customer Support, dentro de la División Tax & Accounting España, buscamos incorporar un/a Sr Customer Service Representative.

Misión: 
Asesorar, informar y atender por distintas vías las consultas tanto de clientes como de distribuidores, registrando, elaborando y analizando todas las solicitudes y sugerencias, de cara a realizar un servicio eficaz y rápido para que los clientes estén totalmente satisfechos, así como servir de alerta y ayuda a los especialistas y a jefes de proyecto con la información que reciben, para desarrollar nuevas versiones y productos, cumpliendo en todo momento con los estándares de calidad previstos.

Funciones Principales: 
1. Atender, asesorar e informar las consultas de los clientes sobre el producto, a través de distintas vías, como vía telefónica, y e-mail, así como atender sugerencias y reclamaciones en primera instancia.
2. Registrar todas las solicitudes y sugerencias de los clientes, con el fin de servir de alerta y ayuda tanto a los especialistas como a los jefes de proyecto, aportando sugerencias y alternativas, para que realicen mejoras y nuevos desarrollos en productos y servicios de cara a satisfacer las necesidades de los clientes.
3. Nutrir y alimentar nuestra herramienta de conocimiento A3responde, con nuevas consultas o modificando las existentes. Alertar sobre nuevos requerimientos de clientes para alzar comunicados y a3onlines con el fin de tener al cliente bien informado.
4. Y todas aquellas funciones propias de su categoría profesional y funcional.

Perfil: 
Formación, experiencia y conocimientos:
FP Superior, diplomado, licenciado o graduado.
Usuario Microsoft Office
Experiencia de al menos 1 año en servicios de atención al cliente
Conocimiento de gestión de fiscalidad

Habilidades y competencias:
o Proactividad y capacidad de resolución de problemas
o Empatía y capacidad de comunicación
o Orientación al cliente y a resultados
o Capacidad de análisis.
o Dinamismo, innovación, flexibilidad, gestión del cambio.",116,961,7,Customer Service,Customer Service - Generalist,121,EMEA,Spain,ESP-Barcelona-Av. Carrilet,2021-02-26 00:00:00,3,-0.01649076,15.7,12
571,Senior Software Quality Assurance Analyst,"Specifically, the QA Lead will work under general direction, be assigned to a feature development team with the following key responsibilities:
· Within an Agile framework, collaborate with other team members to deliver compelling, high quality solutions via iterative sprint commitments.
· Uphold existing quality assurance and test standards and processes and be a champion in driving further improvement.
· Write clear, concise and comprehensive test plans and test cases, designing tests to mitigate risk, and helping business experts define requirements.
· Collaborate with developers and business experts.
· Provide timely and meaningful feedback on requirements and features tested.
· Manage and assist with the development / execution of varying types of complex test cases: i.e., functional, regression, automation, performance, and end-to-end.
· Actively involved in planning and lead the effort to deliver testing estimates.
· Empower self to make effective and efficient decisions.
· Be capable or prioritizing tasks according to assigned risk.
· Be responsible for own project-related deadlines.
· Have the ability to build positive and effective relationships with individuals both internal and external to the organization.
· Embody a personal code of conduct. Leads by example.
· Generate and maintenance of sample data for testing and development.
· Ability to display endurance and capacity for a fast paced work environment.
· Configures desktop computer software and firmware as required for testing.
· Configure environments for testing using Microsoft Windows Operating systems and Virtual Machine technologies.
· Perform other non-specified tasks as assigned.",175,951,7,Technology,Software Quality Assurance,374,APAC,India,IND-Pune-IndiQube Orchid,2021-08-11 00:00:00,6,4.811442,8.6,287
